00601,17982
00602,40260
00603,52408
00606,6331
00610,28328
00612,64816
00616,10707
00617,24793
00622,7425
00623,42955
00624,24628
00627,33949
00631,1664
00637,24398
00638,18084
00641,29516
00646,38396
00647,5740
00650,14738
00652,3800
00653,12514
00656,20414
00659,41578
00660,16845
00662,42499
00664,15974
00667,24968
00669,27703
00670,9333
00674,42358
00676,38999
00677,14855
00678,26815
00680,52431
00682,32431
00683,32569
00685,40800
00687,32294
00688,12870
00690,5565
00692,36777
00693,58615
00694,77
00698,39395
00703,28165
00704,8007
00705,24717
00707,11701
00714,18988
00715,3586
00716,30876
00717,17704
00718,26547
00719,30588
00720,22676
00723,18441
00725,86276
00727,56503
00728,41337
00729,53439
00730,34965
00731,14382
00735,13063
00736,50335
00738,33205
00739,37970
00740,1515
00741,5514
00745,53797
00751,22777
00754,39651
00757,22913
00765,8993
00766,24875
00767,36340
00769,39670
00771,38340
00772,21478
00773,19497
00775,1554
00777,40570
00778,46765
00780,13016
00782,18530
00783,35151
00784,42625
00786,288
00791,50809
00794,30215
00795,46450
00901,6132
00906,73
00907,17382
00909,5616
00911,7444
00912,5979
00913,8122
00915,29387
00917,19086
00918,16552
00920,17995
00921,37696
00923,26591
00924,54584
00925,6899
00926,104645
00927,14447
00934,67
00936,731
00949,78552
00950,0
00951,15
00952,9363
00953,73099
00956,74529
00957,43336
00959,48168
00960,2355
00961,30978
00962,20975
00965,8483
00966,16058
00968,3492
00969,43021
00971,29095
00976,61762
00979,15234
00982,15029
00983,39407
00985,33653
00987,60377
01001,17438
01002,29780
01003,11241
01005,5201
01007,14838
01008,1171
01009,429
01010,3695
01011,1506
01012,539
01013,22394
01020,30952
01022,2840
01026,1036
01027,17787
01028,16017
01029,717
01030,11250
01031,1369
01032,611
01033,6304
01034,2190
01035,5324
01036,5179
01037,731
01038,2794
01039,1236
01040,40342
01050,2513
01053,1772
01054,1993
01056,21348
01057,8712
01060,15229
01062,11029
01063,572
01066,10
01068,1803
01069,8976
01070,565
01071,1318
01072,1465
01073,6022
01074,247
01075,17781
01077,9640
01079,593
01080,2286
01081,1720
01082,10460
01083,2960
01084,155
01085,41509
01086,685
01088,493
01089,28600
01092,1291
01093,307
01094,336
01095,14514
01096,2494
01097,31
01098,1149
01103,2564
01104,23485
01105,12027
01106,16007
01107,11224
01108,27342
01109,30541
01118,14453
01119,13269
01128,2498
01129,7377
01151,9037
01199,0
01201,45328
01220,8391
01222,812
01223,2294
01224,138
01225,3124
01226,6892
01229,114
01230,8048
01235,2866
01236,1538
01237,2841
01238,5950
01240,4603
01242,394
01243,374
01244,115
01245,950
01247,15737
01253,708
01254,954
01255,852
01256,796
01257,2203
01258,334
01259,563
01260,485
01262,1239
01264,153
01266,1430
